city/county,state,date,positive_tests,total_tests
Chicago,Illinois,2021/02/27,209,5632
Chicago,Illinois,2021/04/24,505,7245
Chicago,Illinois,2020/08/31,515,10004
Chicago,Illinois,2020/12/26,1114,8838
Chicago,Illinois,2021/12/10,1410,29645
Chicago,Illinois,2021/03/11,393,13520
Chicago,Illinois,2021/12/05,629,11332
Chicago,Illinois,2021/10/09,303,9414
Chicago,Illinois,2021/12/25,1528,7544
Chicago,Illinois,2021/04/17,531,7083
Chicago,Illinois,2020/09/17,435,8639
Chicago,Illinois,2022/02/27,126,6004
Chicago,Illinois,2020/12/09,2134,17092
Chicago,Illinois,2021/12/30,9137,43892
Chicago,Illinois,2021/05/20,290,10889
Chicago,Illinois,2022/02/28,243,36211
Chicago,Illinois,2020/10/25,562,5521
Chicago,Illinois,2021/10/03,246,7245
Chicago,Illinois,2022/01/20,2461,47170
Chicago,Illinois,2021/05/30,74,4378
Chicago,Illinois,2020/10/19,1250,15279
Chicago,Illinois,2020/09/14,501,9769
Chicago,Illinois,2020/07/01,342,9971
Chicago,Illinois,2021/12/14,3187,45215
Chicago,Illinois,2021/03/13,275,6592
Chicago,Illinois,2021/11/07,343,8435
Chicago,Illinois,2020/08/05,461,9780
Chicago,Illinois,2020/11/24,2209,21091
Chicago,Illinois,2020/11/10,3601,23367
Chicago,Illinois,2020/06/19,319,6141
Chicago,Illinois,2020/08/30,126,3251
Chicago,Illinois,2021/04/19,788,18759
Chicago,Illinois,2021/10/11,406,18788
Chicago,Illinois,2020/11/08,1195,7192
Chicago,Illinois,2021/04/12,1009,18916
Chicago,Illinois,2021/07/28,344,14216
Chicago,Illinois,2021/06/05,74,4689
Chicago,Illinois,2021/03/19,488,13259
Chicago,Illinois,2020/10/20,1318,16827
Chicago,Illinois,2021/06/28,70,8616
Chicago,Illinois,2021/07/05,70,5257
Chicago,Illinois,2021/01/06,1683,15909
Chicago,Illinois,2022/03/11,151,20072
Chicago,Illinois,2020/04/07,559,1852
Chicago,Illinois,2020/03/01,0,1
Chicago,Illinois,2021/06/12,54,4703
Chicago,Illinois,2020/09/18,399,8383
Chicago,Illinois,2022/01/23,888,8704
Chicago,Illinois,2021/12/12,1007,13161
Chicago,Illinois,2020/06/23,294,8235
Chicago,Illinois,2021/11/13,470,11836
Chicago,Illinois,2022/02/20,146,5300
Chicago,Illinois,2021/12/31,5946,29326
Chicago,Illinois,2020/11/05,2800,18385
Chicago,Illinois,2021/09/25,333,10167
Chicago,Illinois,2021/11/01,507,32993
Chicago,Illinois,2020/07/15,365,10683
Chicago,Illinois,2021/12/03,1094,29597
Chicago,Illinois,2020/06/05,517,5631
Chicago,Illinois,2020/05/14,917,5265
Chicago,Illinois,2021/05/31,53,4269
Chicago,Illinois,2020/05/06,1096,5160
Chicago,Illinois,2022/01/26,1502,41619
Chicago,Illinois,2021/09/17,590,20367
Chicago,Illinois,2021/09/13,637,23369
Chicago,Illinois,2022/03/05,124,6865
Chicago,Illinois,2020/09/09,496,10769
Chicago,Illinois,2020/09/04,512,8477
Chicago,Illinois,2020/03/08,2,17
Chicago,Illinois,2020/04/11,373,1380
Chicago,Illinois,2021/06/15,54,9106
Chicago,Illinois,2020/12/01,2433,19395
Chicago,Illinois,2020/11/30,2812,21383
Chicago,Illinois,2022/01/31,1175,47901
Chicago,Illinois,2022/03/02,180,32036
Chicago,Illinois,2020/08/09,134,3170
Chicago,Illinois,2021/12/22,8340,60249
Chicago,Illinois,2021/09/09,559,18538
Chicago,Illinois,2020/04/20,942,3276
Chicago,Illinois,2021/11/20,561,11967
Chicago,Illinois,2020/03/07,3,11
Chicago,Illinois,2020/10/07,618,14173
Chicago,Illinois,2021/12/26,4978,24787
Chicago,Illinois,2020/03/02,0,5
Chicago,Illinois,2021/10/27,433,25690
Chicago,Illinois,2020/10/30,2097,16750
Chicago,Illinois,2021/07/27,293,13411
Chicago,Illinois,2021/05/23,134,4572
Chicago,Illinois,2020/03/22,164,596
Chicago,Illinois,2020/03/12,6,71
Chicago,Illinois,2021/06/25,47,7934
Chicago,Illinois,2022/02/25,231,24320
Chicago,Illinois,2020/07/14,390,10036
Chicago,Illinois,2021/03/31,792,16196
Chicago,Illinois,2022/02/18,340,23168
Chicago,Illinois,2020/04/16,673,2763
Chicago,Illinois,2021/11/21,473,11333
Chicago,Illinois,2021/07/23,268,11005
Chicago,Illinois,2021/10/05,459,27532
Chicago,Illinois,2021/07/30,414,11232
Chicago,Illinois,2021/02/11,571,13757
Chicago,Illinois,2021/07/02,58,6512
Chicago,Illinois,2021/07/09,114,8673
Chicago,Illinois,2020/09/01,385,9432
Chicago,Illinois,2021/02/06,327,5472
Chicago,Illinois,2021/09/20,607,27030
Chicago,Illinois,2020/12/21,1711,21582
Chicago,Illinois,2021/02/25,332,12742
Chicago,Illinois,2021/07/18,98,7056
Chicago,Illinois,2021/05/09,205,4944
Chicago,Illinois,2020/11/20,2789,24457
Chicago,Illinois,2021/01/26,782,15615
Chicago,Illinois,2020/08/16,141,3012
Chicago,Illinois,2021/06/22,39,8619
Chicago,Illinois,2021/01/01,305,3577
Chicago,Illinois,2022/02/21,289,14220
Chicago,Illinois,2020/04/28,1378,4985
Chicago,Illinois,2021/11/19,866,25672
Chicago,Illinois,2022/02/05,467,8310
Chicago,Illinois,2021/06/08,100,9868
Chicago,Illinois,2020/11/19,2588,22846
Chicago,Illinois,2022/03/17,195,26419
Chicago,Illinois,2020/05/29,649,6600
Chicago,Illinois,2021/08/01,236,6962
Chicago,Illinois,2021/04/02,773,13765
Chicago,Illinois,2021/06/16,38,8725
Chicago,Illinois,2021/08/14,448,10897
Chicago,Illinois,2021/07/06,93,9533
Chicago,Illinois,2021/08/17,611,15325
Chicago,Illinois,2020/10/31,1106,8025
Chicago,Illinois,2022/02/06,368,6609
Chicago,Illinois,2021/04/07,918,17015
Chicago,Illinois,2020/07/24,430,8876
Chicago,Illinois,2020/03/16,40,415
Chicago,Illinois,2020/10/24,969,8270
Chicago,Illinois,2020/06/29,389,8833
Chicago,Illinois,2022/02/14,483,38141
Chicago,Illinois,2021/09/27,583,27964
Chicago,Illinois,2020/09/13,142,2975
Chicago,Illinois,2020/07/12,113,2598
Chicago,Illinois,2021/05/04,559,16352
Chicago,Illinois,2020/12/04,2150,19229
Chicago,Illinois,2021/06/23,49,9075
Chicago,Illinois,2020/06/10,358,6006
Chicago,Illinois,2021/12/06,1454,41139
Chicago,Illinois,2021/11/04,588,28211
Chicago,Illinois,2021/02/03,700,14372
Chicago,Illinois,2021/09/19,315,7714
Chicago,Illinois,2020/05/25,281,2114
Chicago,Illinois,2020/06/30,342,9010
Chicago,Illinois,2020/12/22,1646,19760
Chicago,Illinois,2022/03/03,199,31490
Chicago,Illinois,2021/05/12,416,13383
Chicago,Illinois,2021/06/20,31,3449
Chicago,Illinois,2020/04/15,637,2391
Chicago,Illinois,2021/12/24,4402,30472
Chicago,Illinois,2022/02/01,995,44144
