Date,Day,Positive Tests,Not Positive Tests,Total Tests,Tests - Age 0-17,Tests - Age 18-29,Tests - Age 30-39,Tests - Age 40-49,Tests - Age 50-59,Tests - Age 60-69,Tests - Age 70-79,Tests - Age 80+,Tests - Age Unknown,Tests - Female,Tests - Male,Tests - Gender Unknown,Tests - Latinx,Tests - Asian Non-Latinx,Tests - Black Non-Latinx,Tests - White Non-Latinx,Tests - Other Race Non-Latinx,Tests - Unknown Race/Ethnicity,Positive Tests - Age 0-17,Positive Tests - Age 18-29,Positive Tests - Age 30-39,Positive Tests - Age 40-49,Positive Tests - Age 50-59,Positive Tests - Age 60-69,Positive Tests - Age 70-79,Positive Tests - Age 80+,Positive Tests - Age Unknown,Positive Tests - Female,Positive Tests - Male,Positive Tests - Unknown Gender,Positive Tests - Latinx,Positive Tests - Asian Non-Latinx,Positive Tests - Black Non-Latinx,Positive Tests - White Non-Latinx,Positive Tests - Other Race Non-Latinx,Positive Tests - Unknown Race/Ethnicity,Not-Positive Tests - Age 0-17,Not-Positive Tests - Age 18-29,Not-Positive Tests - Age 30-39,Not-Positive Tests - Age 40-49,Not-Positive Tests - Age 50-59,Not-Positive Tests - Age 60-69,Not-Positive Tests - Age 70-79,Not-Positive Tests - Age 80+,Not-Positive Tests - Age Unknown,Not-Positive Tests - Female,Not-Positive Tests - Male,Not-Positive Tests - Gender Unknown,Not-Positive Tests - Latinx,Not-Positive Tests - Asian Non-Latinx,Not-Positive Tests - Black Non-Latinx,Not-Positive Tests - White Non-Latinx,Not-Positive Tests - Other Race Non-Latinx,Not-Positive Tests - Unknown Race/Ethnicity
02/27/2021,Saturday,209,5423,5632,503,1280,1208,788,721,589,325,217,1,2896,2639,97,910,224,1245,1654,241,1358,28,49,37,26,32,19,12,6,0,121,88,0,71,10,48,53,10,17,475,1231,1171,762,689,570,313,211,1,2775,2551,97,839,214,1197,1601,231,1341
04/24/2021,Saturday,505,6740,7245,978,1528,1414,981,970,750,425,190,9,3767,3381,97,1357,367,1815,1620,273,1813,92,110,115,71,60,34,15,7,1,287,218,0,166,21,160,104,16,38,886,1418,1299,910,910,716,410,183,8,3480,3163,97,1191,346,1655,1516,257,1775
08/31/2020,Monday,515,9489,10004,808,2717,2116,1296,1222,922,485,432,6,5455,4307,242,1929,306,1829,2629,378,2933,64,158,82,76,72,37,15,11,0,276,239,0,256,3,83,107,18,48,744,2559,2034,1220,1150,885,470,421,6,5179,4068,242,1673,303,1746,2522,360,2885
12/26/2020,Saturday,1114,7724,8838,828,2211,1891,1258,1171,823,429,226,1,4770,4007,61,1729,333,1361,2568,489,2358,110,269,204,179,162,104,56,30,0,575,535,4,478,30,162,294,53,97,718,1942,1687,1079,1009,719,373,196,1,4195,3472,57,1251,303,1199,2274,436,2261
12/10/2021,Friday,1410,28235,29645,8077,6021,5292,3586,2954,2056,864,501,294,16032,13218,395,4257,1577,6384,7712,3416,6299,267,301,340,206,131,98,27,19,21,694,710,6,215,36,336,400,164,259,7810,5720,4952,3380,2823,1958,837,482,273,15338,12508,389,4042,1541,6048,7312,3252,6040
03/11/2021,Thursday,393,13127,13520,937,4431,2731,1658,1546,1189,586,436,6,7062,6145,313,1773,939,2310,4258,720,3520,45,121,85,58,37,32,6,9,0,194,199,0,115,18,64,136,22,38,892,4310,2646,1600,1509,1157,580,427,6,6868,5946,313,1658,921,2246,4122,698,3482
12/05/2021,Sunday,629,10703,11332,2327,2514,2268,1501,1186,889,439,201,7,5972,5274,86,1535,627,2020,3299,1233,2618,136,129,109,98,68,53,22,14,0,327,299,3,123,21,131,206,72,76,2191,2385,2159,1403,1118,836,417,187,7,5645,4975,83,1412,606,1889,3093,1161,2542
10/09/2021,Saturday,303,9111,9414,1746,1869,1912,1216,1032,860,452,317,10,5037,4315,62,1235,488,1924,2546,1287,1934,66,56,66,42,31,28,11,3,0,152,149,2,59,10,85,104,23,22,1680,1813,1846,1174,1001,832,441,314,10,4885,4166,60,1176,478,1839,2442,1264,1912
12/25/2021,Saturday,1528,6016,7544,1016,1827,1452,1083,939,690,342,189,6,3824,3578,142,1074,393,1558,1567,824,2128,237,356,311,212,172,118,83,37,2,783,725,20,273,57,548,327,124,199,779,1471,1141,871,767,572,259,152,4,3041,2853,122,801,336,1010,1240,700,1929
04/17/2021,Saturday,531,6552,7083,835,1464,1317,1028,919,797,446,276,1,3622,3355,106,1130,303,1844,1704,275,1827,73,127,125,95,53,28,16,14,0,282,249,0,153,28,200,102,16,32,762,1337,1192,933,866,769,430,262,1,3340,3106,106,977,275,1644,1602,259,1795
09/17/2020,Thursday,435,8204,8639,544,2422,1940,1121,1021,850,423,316,2,4600,3738,301,1421,303,1594,2011,293,3017,45,136,93,55,47,35,17,7,0,216,218,1,191,13,57,129,9,36,499,2286,1847,1066,974,815,406,309,2,4384,3520,300,1230,290,1537,1882,284,2981
02/27/2022,Sunday,126,5878,6004,1042,1122,1206,844,774,574,294,147,1,3028,2747,229,711,275,1161,1315,290,2252,26,23,25,14,13,12,8,5,0,60,66,0,23,13,14,44,2,30,1016,1099,1181,830,761,562,286,142,1,2968,2681,229,688,262,1147,1271,288,2222
12/09/2020,Wednesday,2134,14958,17092,1368,4693,3568,2435,2151,1613,809,451,4,9145,7485,462,3481,649,3057,3541,662,5702,231,498,396,355,294,219,93,48,0,1133,994,7,922,82,407,394,77,252,1137,4195,3172,2080,1857,1394,716,403,4,8012,6491,455,2559,567,2650,3147,585,5450
12/30/2021,Thursday,9137,34755,43892,9848,8503,8006,6062,5073,3616,1732,1005,47,24072,18821,999,6816,1840,7179,8788,3043,16226,1887,1975,1698,1239,1098,675,346,212,7,5019,4015,103,2070,365,1991,1879,515,2317,7961,6528,6308,4823,3975,2941,1386,793,40,19053,14806,896,4746,1475,5188,6909,2528,13909
05/20/2021,Thursday,290,10599,10889,1377,2641,2064,1453,1351,1088,567,326,22,5586,5233,70,1617,657,2531,2456,406,3222,55,60,64,38,35,26,10,2,0,150,140,0,70,6,135,40,5,34,1322,2581,2000,1415,1316,1062,557,324,22,5436,5093,70,1547,651,2396,2416,401,3188
02/28/2022,Monday,243,35968,36211,18818,4344,3591,3169,2718,2004,945,616,6,19135,16340,736,8083,1907,10988,6475,2172,6586,62,52,44,26,27,16,12,4,0,131,111,1,54,17,38,81,18,35,18756,4292,3547,3143,2691,1988,933,612,6,19004,16229,735,8029,1890,10950,6394,2154,6551
10/25/2020,Sunday,562,4959,5521,518,1628,1220,627,597,454,294,182,1,2954,2481,86,764,297,851,1702,218,1689,67,145,130,71,75,41,20,13,0,292,269,1,166,17,82,213,28,56,451,1483,1090,556,522,413,274,169,1,2662,2212,85,598,280,769,1489,190,1633
10/03/2021,Sunday,246,6999,7245,1538,1502,1507,864,755,592,293,185,9,3927,3243,75,883,451,1443,2416,861,1191,47,48,49,26,32,25,13,5,1,123,123,0,40,8,67,108,10,13,1491,1454,1458,838,723,567,280,180,8,3804,3120,75,843,443,1376,2308,851,1178
01/20/2022,Thursday,2461,44709,47170,17719,8308,6719,5328,4267,2779,1236,803,11,25594,20952,624,8553,2502,12300,10093,3658,10064,607,471,441,282,294,179,102,85,0,1265,1181,15,631,146,410,643,120,511,17112,7837,6278,5046,3973,2600,1134,718,11,24329,19771,609,7922,2356,11890,9450,3538,9553
05/30/2021,Sunday,74,4304,4378,600,935,817,507,563,482,310,161,3,2219,2135,24,518,228,848,894,151,1739,9,20,13,7,9,9,5,2,0,39,35,0,28,0,26,14,1,5,591,915,804,500,554,473,305,159,3,2180,2100,24,490,228,822,880,150,1734
10/19/2020,Monday,1250,14029,15279,1210,4298,3263,1985,1823,1362,673,660,5,8126,6711,442,2809,659,2432,4280,545,4554,153,296,260,177,190,109,42,21,2,645,605,0,518,41,225,313,38,115,1057,4002,3003,1808,1633,1253,631,639,3,7481,6106,442,2291,618,2207,3967,507,4439
09/14/2020,Monday,501,9268,9769,643,2685,2212,1300,1160,958,487,322,2,5284,4302,183,1729,301,1812,2552,359,3016,62,129,111,69,72,39,10,9,0,245,253,3,251,9,72,132,9,28,581,2556,2101,1231,1088,919,477,313,2,5039,4049,180,1478,292,1740,2420,350,2988
07/01/2020,Wednesday,342,9629,9971,465,2135,1928,1314,1409,1334,720,646,20,5586,4077,308,1577,261,2368,2124,308,3333,20,111,65,46,40,33,11,16,0,204,137,1,136,7,75,79,9,36,445,2024,1863,1268,1369,1301,709,630,20,5382,3940,307,1441,254,2293,2045,299,3297
12/14/2021,Tuesday,3187,42028,45215,15739,8470,7625,5054,3945,2494,1135,733,20,24455,19645,1115,7802,1914,10085,11734,4544,9136,573,997,713,417,260,145,50,32,0,1678,1485,24,417,74,865,987,245,599,15166,7473,6912,4637,3685,2349,1085,701,20,22777,18160,1091,7385,1840,9220,10747,4299,8537
